2019-12-23,00:00:00,7513.06
2019-12-22,00:00:00,7143.01
2019-12-21,00:00:00,7190
2019-12-20,00:00:00,7149.12
2019-12-19,00:00:00,7285.53
2019-12-18,00:00:00,6616.62
2019-12-17,00:00:00,6877.03
2019-12-16,00:00:00,7111
2019-12-15,00:00:00,7062.91
2019-12-14,00:00:00,7249.9
2019-12-13,00:00:00,7185.91
2019-12-12,00:00:00,7201.23
2019-12-11,00:00:00,7219.37
2019-12-10,00:00:00,7337.51
2019-12-09,00:00:00,7520
2019-12-08,00:00:00,7502.19
2019-12-07,00:00:00,7540.08
2019-12-06,00:00:00,7393.54
2019-12-05,00:00:00,7198.99
2019-12-04,00:00:00,7302.94
2019-12-03,00:00:00,7305.01
2019-12-02,00:00:00,7404.27
2019-12-01,00:00:00,7555.92
2019-11-30,00:00:00,7760
2019-11-29,00:00:00,7432.41
2019-11-28,00:00:00,7523.72
2019-11-27,00:00:00,7162.67
2019-11-26,00:00:00,7127.01
2019-11-25,00:00:00,6908.64
2019-11-24,00:00:00,7329.29
2019-11-23,00:00:00,7283.03
2019-11-22,00:00:00,7616.46
2019-11-21,00:00:00,8082.96
2019-11-20,00:00:00,8123.36
2019-11-19,00:00:00,8168.84
2019-11-18,00:00:00,8500.01
2019-11-17,00:00:00,8481
2019-11-16,00:00:00,8457.48
2019-11-15,00:00:00,8630
2019-11-14,00:00:00,8758.34
2019-11-13,00:00:00,8810
2019-11-12,00:00:00,8721.54
2019-11-11,00:00:00,9032.23
2019-11-10,00:00:00,8807.89
2019-11-09,00:00:00,8763.01
2019-11-08,00:00:00,9198.84
2019-11-07,00:00:00,9341.27
2019-11-06,00:00:00,9322.09
2019-11-05,00:00:00,9412.53
2019-11-04,00:00:00,9206.52
2019-11-03,00:00:00,9308.52
2019-11-02,00:00:00,9253.12
2019-11-01,00:00:00,9159.48
2019-10-31,00:00:00,9164.44
2019-10-30,00:00:00,9430.8
2019-10-29,00:00:00,9226.5
2019-10-28,00:00:00,9548.84
2019-10-27,00:00:00,9259.78
2019-10-26,00:00:00,8668
2019-10-25,00:00:00,7430.87
2019-10-24,00:00:00,7474.85
2019-10-23,00:00:00,8024.72
2019-10-22,00:00:00,8209.92
2019-10-21,00:00:00,8236.12
2019-10-20,00:00:00,7965.28
2019-10-19,00:00:00,7954.16
2019-10-18,00:00:00,8076.2
2019-10-17,00:00:00,7993.54
2019-10-16,00:00:00,8162.44
2019-10-15,00:00:00,8355
2019-10-14,00:00:00,8282.97
2019-10-13,00:00:00,8309.03
2019-10-12,00:00:00,8267.33
2019-10-11,00:00:00,8587.5
2019-10-10,00:00:00,8590
2019-10-09,00:00:00,8180
2019-10-08,00:00:00,8209
2019-10-07,00:00:00,7859.79
2019-10-06,00:00:00,8147.63
2019-10-05,00:00:00,8156.67
2019-10-04,00:00:00,8240.41
2019-10-03,00:00:00,8381.72
2019-10-02,00:00:00,8321.52
2019-10-01,00:00:00,8304.96
2019-09-30,00:00:00,8052.4
2019-09-29,00:00:00,8217.47
2019-09-28,00:00:00,8193.99
2019-09-27,00:00:00,8060
2019-09-26,00:00:00,8438.35
2019-09-25,00:00:00,8530.01
2019-09-24,00:00:00,9693.74
2019-09-23,00:00:00,10026.8
2019-09-22,00:00:00,9973.99
2019-09-21,00:00:00,10168.85
2019-09-20,00:00:00,10275.01
2019-09-19,00:00:00,10155.26
2019-09-18,00:00:00,10185.39
2019-09-17,00:00:00,10262.54
2019-09-16,00:00:00,10304.46
2019-09-15,00:00:00,10360.25
2019-09-14,00:00:00,10365.93
2019-09-13,00:00:00,10423.72
2019-09-12,00:00:00,10160.2
2019-09-11,00:00:00,10093.01
2019-09-10,00:00:00,10310
2019-09-09,00:00:00,10398.97
2019-09-08,00:00:00,10484.37
2019-09-07,00:00:00,10308.92
2019-09-06,00:00:00,10574.73
2019-09-05,00:00:00,10581.84
2019-09-04,00:00:00,10628.48
2019-09-03,00:00:00,10381.26
2019-09-02,00:00:00,9766.52
2019-09-01,00:00:00,9600.86
2019-08-31,00:00:00,9582.42
2019-08-30,00:00:00,9495
2019-08-29,00:00:00,9714.31
2019-08-28,00:00:00,10171.85
2019-08-27,00:00:00,10361.65
2019-08-26,00:00:00,10138.72
2019-08-25,00:00:00,10147.96
2019-08-24,00:00:00,10410.85
2019-08-23,00:00:00,10107.15
2019-08-22,00:00:00,10130
2019-08-21,00:00:00,10769.09
2019-08-20,00:00:00,10920
2019-08-19,00:00:00,10315.48
2019-08-18,00:00:00,10217.79
